Item,Amount (g),Calories,THg (ng/g),Moderate Hg Increase,Severe Hg Increase,Traditional Food,Food Source,Coastal/Interior,Calorie Citation,Hg Citation,Substituted Hg,Substituted Calories,Notes
Pacific Cod,100,73,118,142.78,324.5,1,Non-Salmon,Interior,https://fdc.nal.usda.gov/food-details/2094916/nutrients,2001-2022 ADEC,,,Hg for fillet
Pancakes,100,269,0.35,0.35,0.35,0,Grains,Imported,https://fdc.nal.usda.gov/food-details/174086/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Peaches,100,39,0.046,0.046,0.046,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/169928/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Peanut Butter,100,520,0.56,0.56,0.56,0,Imported Protein,Imported,https://fdc.nal.usda.gov/food-details/172458/nutrients,Dabeka et al. 2003,Peanut butter and peanuts,,Hg less than value. 
Pilot bread,100,417,0.35,0.35,0.35,0,Grains,Imported,https://fdc.nal.usda.gov/food-details/2032853/nutrients,Dabeka et al. 2003,Crackers,,Hg Less than value. 
Pink Salmon,100,127,64,77.44,176,1,Salmon,Local,https://fdc.nal.usda.gov/food-details/175138/nutrients,2001-2012 ADEC,,,Hg  Maximum value (fillet)
Pizza,100,280,0.22,0.22,0.22,0,Mixed Dishes,Imported,https://fdc.nal.usda.gov/food-details/172041/nutrients,Dabeka et al. 2003,,,
"Pork, fresh",100,263,1.1,1.1,1.1,0,Imported Protein,Imported,https://fdc.nal.usda.gov/food-details/167902/nutrients,Dabeka et al. 2003,,,
potatoes,100,77,0.082,0.082,0.082,0,Store Vegetable,Imported,https://fdc.nal.usda.gov/food-details/170026/nutrients,Dabeka et al. 2003,"Potatoes, raw",,Hg Less than value. 
Ptarmigan,100,128,1.4,1.4,1.4,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,,Hg from muscle
Rainbow Trout,100,119,76,91.96,209,1,Non-Salmon,Interior,https://fdc.nal.usda.gov/food-details/175154/nutrients,2001-2022 ADEC,,,Hg for fillet
Raspberry,100,52,5,5,5,1,Traditional Plants and Fungi,Local,https://fdc.nal.usda.gov/food-details/167755/nutrients,Golzadeh et al. 2020,Berries,,
Ringed seal ,100,142,100,121,275,1,Marine Mammal,Coastal,https://fdc.nal.usda.gov/food-details/168025/nutrients,Dehn et al. 2005,,,Hg from muscle. Barrow caught seal
Round Whitefish,100,134,79,95.59,217.25,1,Non-Salmon,Local,https://fdc.nal.usda.gov/food-details/173711/nutrients,2001-2022 ADEC,,,Hg for fillet
Ruffed Grouse,100,142,4,4,4,1,Game,Interior,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,Unspecified grouse,,Used Hg from muscle
Saffron Cod,100,84,23,27.83,63.25,1,Non-Salmon,Coastal,https://fdc.nal.usda.gov/food-details/175178/nutrients,2001-2022 ADEC,,Pacific Cod,Hg for whole body
Salmonberry,100,47,5,5,5,1,Traditional Plants and Fungi,Local,https://fdc.nal.usda.gov/food-details/168048/nutrients,Golzadeh et al. 2020,Berries,,
Sandhill Crane,100,153,0.8,0.8,0.8,1,Game,Coastal,http://ushotstuff.com/wg/Nutritional.htm,Rothschild et al. 2005,,,Hg from muscle
Sausage,100,320,0.82,0.82,0.82,0,Imported Protein,Imported,https://fdc.nal.usda.gov/food-details/174585/nutrients,Dabeka et al. 2003,Weiners,,
Sheefish,100,115,138,166.98,379.5,1,Non-Salmon,Local,https://fdc.nal.usda.gov/food-details/167648/nutrients,2001-2022 ADEC,,,Hg for fillet
Snow Geese,100,121,0.8,0.8,0.8,1,Game,Local,http://ushotstuff.com/wg/Nutritional.htm,Rothschild et al. 2005,Canada goose,,
Snowshoe Hare,100,114,6,6,6,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,Unspecified hare,,Used Hg from muscle
Sockeye Salmon,100,153,40,48.4,110,1,Salmon,Local,https://fdc.nal.usda.gov/food-details/168045/nutrients,2001-2022 ADEC,,,Hg for fillet
Soft drink,100,40,0.041,0.041,0.041,0,Sugared Drinks,Imported,https://fdc.nal.usda.gov/food-details/173206/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Soup,100,41,0.15,0.15,0.15,0,Mixed Dishes,Imported,https://fdc.nal.usda.gov/food-details/174545/nutrients,Dabeka et al. 2003,"Soup, meat, canned",,
Spagehtti,100,157,0.11,0.11,0.11,0,Grains,Imported,https://fdc.nal.usda.gov/food-details/172014/nutrients,Dabeka et al. 2003,"Pasta, plain",,Hg Less than value. 
Spotted Seal,100,110,130,157.3,357.5,1,Marine Mammal,Coastal,https://fdc.nal.usda.gov/food-details/167610/nutrients,Dehn et al. 2005,,generic seal meat,
Spruce Grouse,100,142,4,4,4,1,Game,Interior,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,Unspecified grouse,,Used Hg from muscle
Tang,100,250,0.041,0.041,0.041,0,Sugared Drinks,Imported,https://fdc.nal.usda.gov/food-details/1636387/nutrients,Dabeka et al. 2003,Soft Drink,,
Tundra Swan,100,161,2.7,2.7,2.7,1,Game,Coastal,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,Canda Goose,Hg from muscle
Vegetable Oil,100,857,0.25,0.25,0.25,0,Vegetable Fats,Imported,https://fdc.nal.usda.gov/food-details/1625352/nutrients,Dabeka et al. 2003,Cooking fats and Salad oils,"Crisco, Pure Vegetable Oil",Hg Less than value. 
Walrus,100,199,21,25.41,57.75,1,Marine Mammal,Coastal,https://fdc.nal.usda.gov/food-details/168029/nutrients,Quakenbush et al. 2016,,,Hg from muscle
White Bread,100,267,0.46,0.46,0.46,0,Grains,Imported,https://fdc.nal.usda.gov/food-details/325871/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
White Rice,100,366,0.57,0.57,0.57,0,Grains,Imported,https://fdc.nal.usda.gov/food-details/169714/nutrients,Dabeka et al. 2003,,,
white sugar,100,387,0.56,0.56,0.56,0,Sweeteners and Candy,Imported,https://fdc.nal.usda.gov/food-details/169655/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
White-fronted Geese,100,161,2.3,2.3,2.3,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,Canada Goose,Hg from muscle
White-winged Scoter,100,84,87.9,87.9,87.9,1,Game,Interior,https://fdc.nal.usda.gov/food-details/167617/nutrients,Rothschild et al. 2005,,,Hg from muscle
Wild Rhubarb,100,61,0.12,0.12,0.12,1,Traditional Plants and Fungi,Coastal,https://fdc.nal.usda.gov/food-details/168022/nutrients,Dabeka et al. 2003,Lettuce,,
Wild Rose Hips,100,162,5,5,5,1,Traditional Plants and Fungi,Interior,https://fdc.nal.usda.gov/food-details/168998/nutrients,Golzadeh et al. 2020 for berries,Berries,,
